date,away_abbr,away_pts,home_abbr,home_pts,playoff_game
20211217,CHO,116,POR,125,0
20211217,MEM,124,SAC,105,0
20211218,HOU,116,DET,107,0
20211218,NYK,107,BOS,114,0
20211218,ORL,100,BRK,93,0
20211218,GSW,100,TOR,119,0
20211218,LAC,103,OKC,104,0
20211218,CLE,119,MIL,90,0
20211218,WAS,109,UTA,103,0
20211219,MIA,90,DET,100,0
20211219,POR,105,MEM,100,0
20211219,SAS,114,SAC,121,0
20211219,LAL,110,CHI,115,0
20211219,DAL,105,MIN,111,0
20211219,CHO,106,PHO,137,0
20211220,PHI,108,BOS,103,0
20211220,HOU,118,CHI,133,0
20211220,OKC,102,MEM,99,0
20211220,CHO,102,UTA,112,0
20211220,SAC,98,GSW,113,0
20211220,SAS,116,LAC,92,0
20211221,IND,96,MIA,125,0
20211221,DET,91,NYK,105,0
20211221,POR,97,NOP,111,0
20211221,MIN,102,DAL,114,0
20211221,PHO,108,LAL,90,0
20211222,ORL,104,ATL,98,0
20211222,CLE,101,BOS,111,0
20211222,HOU,106,MIL,126,0
20211222,DEN,94,OKC,108,0
20211222,LAC,105,SAC,89,0
20211223,HOU,106,IND,118,0
20211223,NOP,110,ORL,104,0
20211223,ATL,98,PHI,96,0
20211223,DET,112,MIA,115,0
20211223,WAS,124,NYK,117,0
20211223,MIL,102,DAL,95,0
20211223,CHO,115,DEN,107,0
20211223,OKC,101,PHO,113,0
20211223,MIN,116,UTA,128,0
20211223,MEM,104,GSW,113,0
20211223,SAS,138,LAL,110,0
20211225,ATL,87,NYK,101,0
20211225,BOS,113,MIL,117,0
20211225,GSW,116,PHO,107,0
20211225,BRK,122,LAL,115,0
20211225,DAL,116,UTA,120,0
20211226,ORL,83,MIA,93,0
20211226,TOR,99,CLE,144,0
20211226,MEM,127,SAC,102,0
20211226,PHI,117,WAS,96,0
20211226,NOP,112,OKC,117,0
20211226,DET,109,SAS,144,0
20211226,IND,105,CHI,113,0
20211226,DEN,103,LAC,100,0
20211227,HOU,99,CHO,123,0
20211227,CHI,130,ATL,118,0
20211227,BOS,103,MIN,108,0
20211227,UTA,110,SAS,104,0
20211227,MEM,114,PHO,113,0
20211227,DAL,132,POR,117,0
20211227,BRK,124,LAC,108,0
